store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
3361278033591045661,0,5,0,0,0,0
2601623541509400542,0,5,0,0,0,0
8207758013351082541,0,5,0,0,0,0
4249300502744464539,60,24,168,0,0,0
881974164067848799,0,5,0,0,0,0
4031771205466256346,0,5,0,0,0,0
8117247589549708019,0,5,0,0,0,0
5223121655148958959,0,5,0,0,0,0
5281145666427062582,0,5,0,0,0,0
7103249743888768279,0,5,0,0,0,0
6937872202603482963,0,5,0,0,0,0
4359897525988670130,0,5,0,0,0,0
8668949117244880140,0,5,0,0,0,0
329697652999698776,0,5,0,0,0,0
2873839205725435068,0,5,0,0,0,0
1634983772484395625,60,24,166,2,0,2
8754037299794781932,0,5,0,0,0,0
8478659457975884995,0,5,0,0,0,0
3173528025538718452,0,5,0,0,0,0
1172776965412058288,60,24,168,0,0,0
8050904836920798206,0,10,59,109,14,109
3485383537492459194,0,5,0,0,0,0
7791569942019889767,0,5,0,0,0,0
7647796266115725856,0,5,0,0,0,0
7372385631979013974,0,5,0,0,0,0
1886094822273762805,0,5,0,0,0,0
1921227243936268124,0,5,0,0,0,0
2670800031826856367,0,5,0,0,0,0
2529970021684233025,60,24,168,0,0,0
3390153829311738919,0,5,0,0,0,0
2723172216807087715,60,24,168,0,0,0
3457174951287490032,60,24,168,0,0,0
1557691556894768738,60,24,168,0,0,0
4395688375231610603,0,5,0,0,0,0
3480535111316179789,0,2,0,0,3,0
8080175208160124283,0,5,0,0,0,0
4894791864539115200,0,5,0,0,0,0
6529727365761998945,0,5,0,0,0,0
2937297056410899541,0,5,0,0,0,0
7257064183173214729,0,5,0,0,0,0
3151529852031249810,0,5,0,0,0,0
8258804424046746943,0,5,0,0,0,0
6614523831540505463,0,5,0,0,0,0
1826435698432426239,60,24,168,0,0,0
4333246355539626670,60,24,168,0,0,0
4644728874609587438,60,24,168,0,0,0
646862635677872649,0,5,0,0,0,0
3762462515785465924,60,24,168,0,0,0
7150774588280614833,60,22,160,8,2,8
8345736932152836262,60,24,168,0,0,0
6807898943856172607,60,24,57,111,0,111
1666841521765803410,60,24,168,0,0,0
333363422900954809,0,5,0,0,0,0
8957614279107724771,0,5,0,0,0,0
5945586020471081479,0,5,0,0,0,0
6472421132249756772,0,5,0,0,0,0
7761606104561337031,0,5,0,0,0,0
838975604215828311,0,5,0,0,0,0
3266261351669573692,0,5,0,0,0,0
2795813457317920490,0,4,0,0,1,0
4605930245483207319,60,24,168,0,0,0
2962311335535390960,60,24,168,0,0,0
7268756666846583478,0,5,0,0,0,0
1630572092685790853,0,5,0,0,0,0
8937336970477990571,0,5,0,0,0,0
5573042382995353167,0,5,0,0,0,0
2919034318358144116,0,5,0,0,0,0
1069175913867471706,0,5,0,0,0,0
875843728245815497,60,24,168,0,0,0
674181715362434303,60,24,168,0,0,0
6919205629015311844,60,24,168,0,0,0
5833524886918537002,60,24,168,0,0,0
895776572353408414,60,24,168,0,0,0
3128372722755492220,60,24,167,1,0,1
7623827925406279462,60,2,146,22,22,22
7380452304013001940,60,24,166,2,0,2
4735020268815610999,60,24,168,0,0,0
4379354991255025015,0,5,0,0,0,0
586828640680309708,0,5,0,0,0,0
4411708924362315807,0,5,0,0,0,0
3602624699088147408,0,5,0,0,0,0
808823578625004293,0,5,0,0,0,0
4537118630493879732,0,5,0,0,0,0
6768421287930768369,0,5,0,0,0,0
5204205417198497707,0,5,0,0,0,0
6218610446218045507,0,5,0,0,0,0
4038122761946492291,0,5,0,0,0,0
4521472232575735964,60,24,5,0,0,0
6164497053337196872,0,5,0,0,0,0
2746426715779371861,0,5,0,0,0,0
3592833730880444385,0,5,0,0,0,0
6084129894248182147,0,5,0,0,0,0
2968757472314064027,0,5,0,0,0,0
6864988578947949086,0,5,0,0,0,0
2341975151855811674,0,5,0,0,0,0
1545419770545519833,0,5,0,0,0,0
3984770485507574882,0,5,0,0,0,0
6608528256001332810,0,5,0,0,0,0
2973766607541934236,0,5,0,0,0,0
4079089274955837207,0,5,0,0,0,0
4398082883008351949,0,5,0,0,0,0
8191797924941731759,0,5,0,0,0,0
2662551240879654986,0,5,0,0,0,0
6891979499390404721,0,5,0,0,0,0
6740922013757682995,0,5,0,0,0,0
7995554789749200173,0,5,0,0,0,0
7220973262594195425,0,5,0,0,0,0
2547992708873404100,0,5,0,0,0,0
4783594666522589213,0,5,0,0,0,0
3427928602063028232,0,5,0,0,0,0
3871342332526523326,0,5,0,0,0,0
4015395599881112256,0,5,0,0,0,0
1404363152012971654,0,5,0,0,0,0
2097768219460516447,0,5,0,0,0,0
504331488096931942,0,5,0,0,0,0
774816811015287446,0,5,0,0,0,0
7223258670951219118,0,5,0,0,0,0
4467068553511405146,0,5,0,0,0,0
2107578749059541867,0,5,0,0,0,0
5542499542228920905,0,5,0,0,0,0
5036997234964374401,0,5,0,0,0,0
7184588537939096369,0,5,0,0,0,0
3261499711683468740,0,5,0,0,0,0
4336560822635846731,0,5,0,0,0,0
5750671646927722816,0,5,0,0,0,0
5219832925489842912,0,5,0,0,0,0
6034454880939136883,0,5,0,0,0,0
1209276477146037485,0,5,0,0,0,0
8915497710891717822,0,5,0,0,0,0
8335674997994907960,0,5,0,0,0,0
8911368470440272064,0,5,0,0,0,0
8315395491061125019,0,5,0,0,0,0
1670544066363019946,0,5,0,0,0,0
3211772869478790020,60,24,168,0,0,0
